operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Tlalpan|Distrito Federal|México|,"19.2881277,-99.1383849",4890000.0,MXN,4845763.63,257636.9,144.0,254.0,1789.1451388888888,19251.96850393701,,,,http://tlalpan.properati.com.mx/l5lr_venta_casa_tlalpan_infinity-bienes-raices
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.36269,-99.150565",1570000.0,MXN,1556166.19,82737.39,,75.0,,20933.33333333333,,,,http://benito-juarez.properati.com.mx/raei_venta_departamento_benito-juarez_pirineos_142_antonio-pedro_euo
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.39912,-99.141464",2700000.0,MXN,2675574.95,142253.5,,92.0,,29347.82608695652,,,,http://benito-juarez.properati.com.mx/odmz_venta_departamento_benito-juarez_yael-reyes
sell,apartment,|Tlalpan|Distrito Federal|México|,"19.291345,-99.124312",1370000.0,MXN,1357928.55,72197.6,,62.0,,22096.774193548383,,,,http://tlalpan.properati.com.mx/r1ho_venta_departamento_tlalpan_teja_1_quality-uribe-inmobiliaria
sell,apartment,|Iztapalapa|Distrito Federal|México|,"19.354987,-99.061709",840400.0,MXN,832797.49,44277.72,,85.0,,9887.058823529413,,,,http://iztapalapa.properati.com.mx/px1c_venta_departamento_iztapalapa_batallones-rojos_205_jose-camacho
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.362289,-99.20254",12500000.0,MXN,12386921.49,658581.04,,400.0,,31250.0,,,,http://merced-gomez.properati.com.mx/q6um_venta_casa_merced-gomez_cerrada-de-garcetas_8_gabriela-munguia
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.39365,-99.14769",3671744.0,MXN,3639391.14,193497.15,,56.0,,65566.85714285714,,,,http://benito-juarez.properati.com.mx/qwmb_venta_departamento_benito-juarez_jorge-trejo_c56
sell,house,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.390415,-99.254997",27000000.0,MXN,26755750.67,1422535.06,675.0,1092.0,2107.4593481481484,24725.274725274725,,,,http://cuajimalpa-de-morelos.properati.com.mx/p67h_venta_casa_cuajimalpa-de-morelos_brabasa-inmobiliaria
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.113848,-86.7668",,,,,,405.0,,,,3.0,,http://cancun.properati.com.mx/fmjj_venta_departamento_cancun
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.381729,-99.164986",2700000.0,MXN,2675574.95,142253.5,,80.0,,33750.0,,,,http://benito-juarez.properati.com.mx/nxlw_venta_departamento_benito-juarez_viso-sur
sell,house,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",4950000.0,MXN,4905220.87,260798.09,361.0,389.0,722.4323822714681,12724.935732647817,2.0,,,http://cancun.properati.com.mx/b4op_venta_casa_cancun
sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.534109,-99.145271",236170.0,MXN,234088.89,12445.91,47.0,47.0,264.80659574468086,5024.893617021276,,,,http://gustavo-a-madero.properati.com.mx/etez_venta_departamento_gustavo-a-madero
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.39365,-99.14769",2280000.0,MXN,2259374.44,120125.18,,128.0,,17812.5,,,,http://benito-juarez.properati.com.mx/of16_venta_departamento_benito-juarez_irma-gomez
sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.469681,-99.086136",1150000.0,MXN,1139596.67,60589.45,,52.0,,22115.384615384617,,,,http://san-juan-de-aragon.properati.com.mx/p3mm_venta_departamento_san-juan-de-aragon_inventario-inmobiliario-7
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.438105,-99.155207",24000000.0,MXN,23788529.42,1264775.47,,500.0,,48000.0,,,,http://cuauhtemoc.properati.com.mx/nvzm_venta_departamento_cuauhtemoc_jose-maria-iglesias_35_hugo-raul-magallanes-mora
sell,house,|Solidaridad|Quintana Roo|México|,"20.6761939004,-87.043132782",4396000.0,MXN,4356232.54,231609.78,437.0,239.0,529.9994965675057,18393.305439330543,,,,http://playa-del-carmen.properati.com.mx/l5rp_venta_casa_playa-del-carmen_realty-riviera-mexico
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.338692,-99.247269",6500000.0,MXN,6442726.59,342543.35,,217.0,,29953.917050691245,,,,http://alcantarilla.properati.com.mx/rawr_venta_departamento_alcantarilla_privada-de-los-cedros_71_silvia-heredia
sell,house,|Azcapotzalco|Distrito Federal|México|,"19.4826041,-99.1947509",4480000.0,MXN,4439472.57,236035.44,300.0,350.0,786.7848,12800.0,,,,http://azcapotzalco.properati.com.mx/pyno_venta_casa_san-antonio_inmobiliaria-arsa
sell,apartment,|Venustiano Carranza|Distrito Federal|México|,"19.443592,-99.121407",900000.0,MXN,892069.85,47429.08,,53.0,,16981.132075471698,,,,http://venustiano-carranza.properati.com.mx/r305_venta_departamento_venustiano-carranza_homu-inmobiliaria
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.41498,-99.177444",4200000.0,MXN,4162005.63,221283.23,,110.0,,38181.81818181818,,,,http://cuauhtemoc.properati.com.mx/oety_venta_departamento_cuauhtemoc_israel-sabina
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.629832,-87.074786",275700.0,USD,5185503.45,275700.0,,194.0,,1421.1340206185566,,,,http://solidaridad-quintana-roo.properati.com.mx/l4rl_venta_departamento_solidaridad_cale-12-y-av-20_maria-de-lourdes-medina
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.403014,-99.158422",3395760.0,MXN,3365040.96,178910.65,,87.0,,39031.72413793104,,,,http://benito-juarez.properati.com.mx/mzgq_venta_departamento_benito-juarez_enrique-rebsmen_1_poga-servicios-inmobiliarios-s-a-de-c-v
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.352219,-99.157096",4400000.0,MXN,4360196.25,231820.52,,83.0,,53012.048192771086,,,,http://benito-juarez.properati.com.mx/qv9t_venta_departamento_benito-juarez_cuauhtemoc_0_carpediem
sell,house,|Othón P. Blanco|Quintana Roo|México|,"18.527753,-88.309187",1350000.0,MXN,1337787.47,71126.75,,230.0,,5869.565217391304,,,,http://othon-p-blanco.properati.com.mx/px73_venta_casa_othon-p-blanco_chable_481_eleazar-villanueva
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.400623,-99.14173",1440000.0,MXN,1426973.24,75868.53,,70.0,,20571.42857142857,,,,http://benito-juarez.properati.com.mx/o172_venta_departamento_benito-juarez_segovia_74_jose-camacho
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.427607,-99.160835",4026085.0,MXN,3989663.91,212120.26,0.0,47.0,,85661.3829787234,,,,http://cuauhtemoc.properati.com.mx/k7bq_venta_departamento_cuauhtemoc_next-home
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.386852,-99.194748",1980000.0,MXN,1962088.23,104319.23,,65.0,,30461.53846153846,,,,http://carola.properati.com.mx/oc7d_venta_departamento_carola_inventario-inmobiliario-8
sell,apartment,|Iztacalco|Distrito Federal|México|,"19.399108,-99.115621",1180076.0,MXN,1169677.85,62188.79,,90.0,,13111.955555555556,,,,http://santa-anita.properati.com.mx/qx9v_venta_departamento_santa-anita_av-coyuya_359_luis-munoz_elj
sell,apartment,|Iztapalapa|Distrito Federal|México|,"19.317698,-99.061256",850000.0,MXN,842310.64,44783.51,,50.0,,17000.0,,,,http://lomas-de-san-lorenzo.properati.com.mx/pifa_venta_departamento_lomas-de-san-lorenzo_inventario-inmobiliario-6
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.4375378206,-99.1721409559",2338000.0,MXN,2317399.23,123210.21,44.0,44.0,2800.2320454545456,53136.36363636364,,,,http://miguel-hidalgo-df.properati.com.mx/qu4h_venta_departamento_miguel-hidalgo_quality-map
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.6325179952,-87.0732887503",305500.0,USD,5745996.75,305500.0,122.0,87.0,2504.098360655738,3511.4942528735637,,,,http://playa-del-carmen.properati.com.mx/ln5h_venta_departamento_playa-del-carmen_jpm-realestate
